종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"261060","TIGER 코스닥150IT","16260","300","1.88","16308.60","15965","16335","15955","69525","1123188515","10731600000","10763675451","660000","코스닥 150 정보기술","812.05","13.78","1.73"
"261070","TIGER 코스닥150바이오테크","16300","-185","-1.12","16540.47","16500","16510","16175","25457","414636600","11084000000","11247517897","680000","코스닥 150 헬스케어","5578.37","-61.58","-1.09"
"250780","TIGER 코스닥150선물인버스","4455","-5","-0.11","4452.21","4455","4485","4415","623226","2776932975","27398250000","27381078574","6150000","F-코스닥150 지수","1670.71","3.29","0.20"
"277630","TIGER 코스피","29135","530","1.85","29248.11","28605","29230","28590","2576","74755175","62640250000","62883429437","2150000","코스피","2873.47","52.96","1.88"
"210780","TIGER 코스피고배당","11725","-5","-0.04","11755.98","11730","11735","11620","6105","71164185","16532250000","16575935358","1410000","코스피 고배당 50","2270.16","1.25","0.06"
"277640","TIGER 코스피대형주","14435","280","1.98","14484.04","14200","14435","14195","3283","47332590","11548000000","11587234816","800000","코스피 대형주","2859.22","54.83","1.96"
"277650","TIGER 코스피중형주","14865","265","1.82","14915.21","14620","14870","14620","843","12475065","12635250000","12677924404","850000","코스피 중형주","2953.99","45.90","1.58"
"143860","TIGER 헬스케어","54240","100","0.18","54547.38","54275","54590","53545","134773","7304366150","129091200000","129822767681","2380000","KRX 헬스케어","5517.31","8.63","0.16"
"138540","TIGER 현대차그룹+펀더멘털","21995","345","1.59","21988.52","21650","22070","21650","65280","1432944160","31672800000","31663466533","1440000","MKF 현대차그룹+ FW","21714.54","262.38","1.22"
"228790","TIGER 화장품","3500","20","0.57","3503.65","3470","3510","3465","195391","683171805","16695000000","16712411025","4770000","WISE 화장품 지수","3510.74","28.66","0.82"
"108590","TREX 200","39845","970","2.50","39772.96","38780","39845","38780","42","1652060","27891500000","27841073990","700000","코스피 200","389.29","8.02","2.10"
"145850","TREX 펀더멘탈 200","37685","705","1.91","37608.09","37740","37740","36795","168","6196355","9421250000","9402023112","250000","FnGuide-RAFI 코리아200 지수","9166.26","162.31","1.80"
"137930","마이다스 200커버드콜5%OTM","14920","205","1.39","14962.69","0","0","0","0","0","8952000000","8977616805","600000","코스피 200 커버드콜 5% OTM","404.17","4.92","1.23"
"292340","마이티 200커버드콜ATM레버리지","9745","130","1.35","9711.34","9620","9745","9605","11","106330","4872500000","4855671925","500000","코스피 200 커버드콜 ATM 지수","1303.32","3.46","0.27"
"159800","마이티 코스피100","29685","185","0.63","30319.98","29685","29685","29685","50","1484250","11874000000","12127993653","400000","코스피 100","2974.06","59.82","2.05"
"152870","파워 200","40330","960","2.44","40281.00","39195","40330","39195","216","8563350","26214500000","26182651549","650000","코스피 200","389.29","8.02","2.10"
"192720","파워 고배당저변동성","27285","150","0.55","27265.59","27080","27285","26950","175","4735300","6548400000","6543741273","240000","코스피 200 고배당지수","2657.08","11.30","0.43"
"176710","파워 중기국고채","101740","0","0.00","101761.07","0","0","0","0","0","6104400000","6105664301","60000","KTB INDEX(시장가격)","10769.10","3.91","0.04"
"140950","파워 코스피100","30620","720","2.41","30606.51","29850","30620","29850","45","1358210","14697600000","14691122492","480000","코스피 100","2974.06","59.82","2.05"
"215620","흥국 S&P코리아로우볼","10310","50","0.49","10398.69","0","0","0","0","0","5567400000","5615290573","540000","S&P Korea 저변동성 지수","8378.29","46.21","0.55"
