종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"175330","JB금융지주","KOSPI",,"5640","10","0.18","5590","5640","5540","513793","2870941220","1110983522160","196982894"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","5500","100","1.85","5400","5540","5390","107730","591466160","192530343500","35005517"
"234080","JW생명과학","KOSPI",,"20750","350","1.72","20500","21250","20300","219624","4574684000","328566995500","15834554"
"067290","JW신약","KOSDAQ","중견기업부","5990","10","0.17","6100","6260","5930","479458","2915643370","249586324340","41667166"
"001060","JW중외제약","KOSPI",,"35050","1350","4.01","35000","37150","34100","1386274","49359028950","733247892700","20920054"
"001067","JW중외제약2우B","KOSPI",,"54900","1900","3.58","54400","54900","53400","2791","152063100","4961532600","90374"
"001065","JW중외제약우","KOSPI",,"40400","1900","4.94","40650","40650","39150","2381","95567150","6963384400","172361"
"096760","JW홀딩스","KOSPI",,"5830","80","1.39","5790","6050","5770","493889","2920669370","387416063650","66452155"
"035900","JYP Ent.","KOSDAQ","우량기업부","38400","-250","-0.65","38650","39100","38050","483327","18609055600","1363103692800","35497492"
"024840","KBI메탈","KOSDAQ","우량기업부","1810","50","2.84","1760","1860","1740","528605","959610085","59641034880","32950848"
"105560","KB금융","KOSPI",,"43400","0","0.00","43550","43600","42750","2027550","87599845250","18046063728000","415807920"
"024120","KB오토시스","KOSDAQ","우량기업부","7420","160","2.20","7320","7640","7310","413863","3096308830","85330000000","11500000"
"002380","KCC","KOSPI",,"197500","4000","2.07","193000","197500","192000","35957","7018684500","1755078022500","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","8660","150","1.76","8600","8720","8500","77171","666881590","185324000000","21400000"
"036670","KCI","KOSDAQ","우량기업부","10000","120","1.21","9920","10050","9860","32741","326375070","112700000000","11270000"
"009070","KCTC","KOSPI",,"3750","75","2.04","3675","3775","3650","317815","1184012415","112500000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"5200","140","2.77","5050","5240","5030","193063","996240220","116661896000","22434980"
"112190","KC산업","KONEX","일반기업부","2500","-90","-3.47","2300","2500","2300","11450","27699725","17813132500","7125253"
"119650","KC코트렐","KOSPI",,"10800","300","2.86","10500","10900","10450","615348","6599385700","140400000000","13000000"
"044180","KD","KOSDAQ","투자주의환기종목(소속부없음)","1220","-5","-0.41","1225","1245","1205","99987","122020370","20160939200","16525360"
"092220","KEC","KOSPI",,"2935","115","4.08","2845","3090","2835","21379860","63358149855","342534868900","116706940"
"151860","KG ETS","KOSDAQ","우량기업부","6730","370","5.82","6400","6730","6370","3582784","23481612530","242280000000","36000000"
"016380","KG동부제철","KOSPI",,"11600","300","2.65","11600","11850","11400","296599","3445825750","1160103205200","100008897"
"016385","KG동부제철우","KOSPI",,"121000","4000","3.42","117000","121000","117000","950","113153500","6459585000","53385"
"046440","KG모빌리언스","KOSDAQ","우량기업부","10350","0","0.00","10350","10450","10200","292669","3022701000","401844628800","38825568"
"035600","KG이니시스","KOSDAQ","우량기업부","20150","0","0.00","20150","20250","19900","184864","3715187750","562274345100","27904434"
"001390","KG케미칼","KOSPI",,"23850","450","1.92","23400","24200","23150","211845","5047557550","310365583200","13013232"
"060720","KH바텍","KOSDAQ","중견기업부","20400","150","0.74","20150","20600","19900","521923","10611729400","482947621200","23673903"
"001940","KISCO홀딩스","KOSPI",,"14200","100","0.71","14100","14250","14000","10212","144366800","262364596000","18476380"
"122450","KMH","KOSDAQ","중견기업부","18150","-200","-1.09","18100","18950","18100","2165697","39875600200","411423873300","22667982"
"052900","KMH하이텍","KOSDAQ","중견기업부","1625","60","3.83","1570","1625","1555","1135402","1816866725","76188935875","46885499"
"058400","KNN","KOSDAQ","우량기업부","2485","10","0.40","2420","2540","2380","21208592","52169284285","329087854200","132429720"
"114450","KPX생명과학","KOSDAQ","중견기업부","12250","-100","-0.81","12300","12600","12050","972405","11971496900","183750000000","15000000"
"025000","KPX케미칼","KOSPI",,"54900","0","0.00","53900","55500","53900","9622","527076500","265716000000","4840000"
"092230","KPX홀딩스","KOSPI",,"60400","-500","-0.82","60300","60900","60000","13664","824143000","255168618400","4224646"
"000040","KR모터스","KOSPI",,"1135","60","5.58","1075","1170","1005","3627055","4031073840","104035255430","91661018"
"044450","KSS해운","KOSPI",,"10350","50","0.49","10250","10400","10200","109392","1123255400","239973858000","23185880"
"030200","KT","KOSPI",,"24000","-200","-0.83","24150","24200","23800","2422653","57994518650","6266683392000","261111808"
"033780","KT&G","KOSPI",,"83100","-200","-0.24","83400","83500","82200","914163","75527597300","11409006500700","137292497"
"030210","KTB투자증권","KOSPI",,"3190","40","1.27","3150","3205","3095","173137","545226940","192401953480","60314092"
"036030","KTH","KOSDAQ","중견기업부","5750","0","0.00","5780","5800","5640","202669","1157946900","205361376500","35715022"
"058850","KTcs","KOSPI",,"2215","5","0.23","2215","2230","2205","265229","588626610","94547275000","42685000"
"058860","KTis","KOSPI",,"2575","40","1.58","2535","2600","2515","246915","634390950","89615150000","34802000"
"060370","KT서브마린","KOSDAQ","중견기업부","5310","60","1.14","5230","5360","5220","157483","834457580","116289000000","21900000"
"093050","LF","KOSPI",,"14700","250","1.73","14500","14700","14400","82277","1200666150","429828000000","29240000"
"003550","LG","KOSPI",,"87500","1500","1.74","86000","88300","84600","569772","49368172700","15098748962500","172557131"
"034220","LG디스플레이","KOSPI",,"18550","-50","-0.27","18550","18650","18350","3159657","58442656400","6637481235000","357815700"
"001120","LG상사","KOSPI",,"24700","250","1.02","24450","25050","24400","269214","6659590750","957372000000","38760000"
